"Major","ComplexType","ComplexDescr","NbrBldgs","NbrStories","NbrUnits","AvgUnitSize","LandPerUnit","ProjectLocation","ProjectAppeal","PcntWithView","ConstrClass","BldgQuality","Condition","YrBuilt","EffYr","PcntComplete","Elevators","SectySystem","Fireplace","Laundry","AptConversion","CondoLandType","Address","BuildingNumber","Fraction","DirectionPrefix","StreetName","StreetType","DirectionSuffix","ZipCode"
"179170","2","4 unit condo","1","2","4","890","1280","3","3","0","4","4","3","1999","2006","100","N","N","Y","2","N","1","1221      E  BARCLAY                   CT      98122","1221 ","   ","E ","BARCLAY                  ","CT  ","  ","98122"
"182240","3","7 UNITS","2","1","7","4440","0","0","0","0","3","4","0","1984","1984","100","N","N"," ","0","N","0","17623        130TH                     AVE  NE 98011","17623","   ","  ","130TH                    ","AVE ","NE","98011"
"182910","2"," ","1","3","9","682","555","3","3","0","4","5","3","1990","2005","100","N","Y","Y","2","Y","0","1726         BELMONT                   AVE     98122","1726 ","   ","  ","BELMONT                  ","AVE ","  ","98122"
"192430","1","","12","3","45","2074","2050","3","4","0","4","6","3","2018","2018","62","N","N","Y","2","N","1","","     ","   ","","                         ","","",""
"204200","1","10 CONDO UNITS","1","3","10","944","1164","3","3","0","4","5","3","1996","1996","100","Y","Y","Y","2","N","1","4315         34TH                      AVE  W  98199","4315 ","   ","  ","34TH                     ","AVE ","W ","98199"
"216160","2","12 UNIT","1","3","12","787","775","2","2","0","4","4","4","1980","2001","100","N","N","N","2","N","0","2122      E  JEFFERSON                 ST      98122","2122 ","   ","E ","JEFFERSON                ","ST  ","  ","98122"
"216180","1","TOWNHOUSES","2","2","30","1565","1569","3","3","0","4","4","4","1978","1986","100","N","N","Y","2","N","1","2591      E  MADISON                   ST      98112","2591 ","   ","E ","MADISON                  ","ST  ","  ","98112"
"230190","1","FLATS","1","4","3","3035","3528","4","4","0","4","7","4","1967","1988","100","Y","Y","Y","2","Y","1","1150         ALKI                      AVE  SW 98116","1150 ","   ","  ","ALKI                     ","AVE ","SW","98116"
"230260","1","FLATS","1","4","14","1133","570","3","3","0","4","6","4","1987","1997","100","Y","Y","Y","2","N","1","1100      E  HARRISON                  ST      98102","1100 ","   ","E ","HARRISON                 ","ST  ","  ","98102"
"233430","1","14 UNIT CONDO","5","3","14","1300","1886","3","3","0","4","5","4","1975","1990","100","N","N"," ","2","N","1","924       W  EMERSON                   ST      98119","924  ","   ","W ","EMERSON                  ","ST  ","  ","98119"
"247280","1","TOWNHOUSES","3","2","22","1430","4505","4","3","0","4","5","4","1979","1993","100","N","N","Y","2","N","1","17502     NE 38TH                      CT      98052","17502","   ","NE","38TH                     ","CT  ","  ","98052"
"253925","1","3 UNIT CONDO","1","3","3","1837","2414","4","3","0","4","4","4","1964","1964","100","N","N","Y","2","Y","1","5752         ASHWORTH                  AVE  N  98103","5752 ","   ","  ","ASHWORTH                 ","AVE ","N ","98103"
"253980","4","Flats","1","4","54","973","433","3","3","0","2","5","3","2007","2007","100","Y","Y","Y","2","N","1","6801         GREENWOOD                 AVE  N  98103","6801 ","   ","  ","GREENWOOD                ","AVE ","N ","98103"
"259985","1","68 UNIT CONDO","10","2","68","1145","3939","3","3","0","4","4","3","1980","1980","100","N","N","Y","2","N","1","1555         UNION                     AVE  NE 98059","1555 ","   ","  ","UNION                    ","AVE ","NE","98059"
"260782","1","Flats","1","3","6","767","937","3","3","0","4","5","5","1966","1986","100","N","Y","N","2","Y","1","4728         40TH                      AVE  NE 98105","4728 ","   ","  ","40TH                     ","AVE ","NE","98105"
"260784","1","6 UNIT CONDO CONVERSION","1","3","6","924","916","3","3","0","4","4","4","1969","1981","100","N","Y","Y","1","Y","1","4317         DAYTON                    AVE  N  98103","4317 ","   ","  ","DAYTON                   ","AVE ","N ","98103"
"260789","1","6 FLAT UNITS","1","3","6","1262","1127","3","3","0","4","5","3","2006","2007","100","Y","Y","Y","2","N","1","4217         FREMONT                   AVE  N  98103","4217 ","   ","  ","FREMONT                  ","AVE ","N ","98103"
"261916","1","FOX BOROUGH CONDO","25","2","60","1681","4897","4","4","0","4","6","3","1987","1987","100","N","N"," ","2","N","1","15841        NORTHUP                   WAY     98008","15841","   ","  ","NORTHUP                  ","WAY ","  ","98008"
"263550","1","6 CONDO UNITS","1","3","6","1406","1027","2","3","0","4","5","3","2000","2000","100","Y","Y"," ","2","N","1","1906         FRANKLIN                  PL   E  98102","1906 ","   ","  ","FRANKLIN                 ","PL  ","E ","98102"
"264410","1","TH & FLAT","2","2","2","803","4200","3","2","0","4","3","4","1952","1985","100","N","N","N","0","N","0","19516        FREMONT                   AVE  N  98133","19516","   ","  ","FREMONT                  ","AVE ","N ","98133"
"266265","4","25 res + 20 pkg +3 coml unit condo","1","8","48","968","257","3","3","0","4","5","3","1999","1999","100","Y","Y"," ","2","N","1","510          6TH                       AVE  S  98104","510  ","   ","  ","6TH                      ","AVE ","S ","98104"
"286390","1","6 UNIT CONDO","1","2","6","1209","2000","4","4","40","4","5","4","1978","1978","100","N","N","Y","2","N","1","22222        6TH                       AVE  S  98198","22222","   ","  ","6TH                      ","AVE ","S ","98198"
"291250","1","Flats","1","3","9","931","800","3","3","0","4","5","3","1998","1998","100","Y","Y","N","2","Y","1","10744        GREENWOOD                 AVE  N  98133","10744","   ","  ","GREENWOOD                ","AVE ","N ","98133"
"302201","1","4 FLAT UNITS","1","4","4","1179","1163","5","3","0","4","5","5","1947","1986","100","N","Y","Y","2","Y","1","4125         BEACH                     DR   SW 98116","4125 ","   ","  ","BEACH                    ","DR  ","SW","98116"
"303930","1","8 UNIT CONDOMINIUM","1","3","8","1325","2353","3","3","0","4","4","3","1980","1985","100","N","Y","Y","2","N","1","11430        99TH                      PL   NE 98033","11430","   ","  ","99TH                     ","PL  ","NE","98033"
"311070","1","39 Res Units + 42 Parking Units","2","5","39","1355","1641","4","3","0","2","5","5","1973","1998","100","Y","Y","Y","2","N","1","1727         HARBOR                    AVE  SW 98116","1727 ","   ","  ","HARBOR                   ","AVE ","SW","98116"
"325945","1","112 UNIT CONDOMINIUM","14","3","112","786","2293","3","3","0","4","3","4","1979","1979","100","N","N","Y","2","Y","1","123       S  340TH                     ST      98003","123  ","   ","S ","340TH                    ","ST  ","  ","98003"
"325950","1","39 UNIT CONDO","3","3","39","896","1843","3","3","0","4","4","4","1956","1990","100","N","N"," ","2","Y","1","22810        30TH                      AVE  S  98198","22810","   ","  ","30TH                     ","AVE ","S ","98198"
"173590","1","3 UNIT CONDO","1","1","3","1076","2823","3","3","0","4","3","4","1958","1980","100","N","N","Y","2","Y","1","13757        35TH                      AVE  NE 98125","13757","   ","  ","35TH                     ","AVE ","NE","98125"
"174997","1"," 28 Unit Residential Condominium","1","4","28","1372","2816","3","3","0","2","4","3","2010","2010","100","Y","Y"," ","2","N","1","18609     SE NEWPORT                   WAY     ","18609","   ","SE","NEWPORT                  ","WAY ","  ",""
"179080","1","Flats","2","3","36","707","792","3","3","0","4","5","3","1985","1985","100","Y","Y","Y","2","Y","1","7323         SAND POINT                WAY  NE 98115","7323 ","   ","  ","SAND POINT               ","WAY ","NE","98115"
"182239","3"," ","0","2","4","3876","0","0","0","0","4","6","3","1988","1988","0"," "," "," ","0"," ","0","1510         140TH                     AVE  NE 98005","1510 ","   ","  ","140TH                    ","AVE ","NE","98005"
"188755","4"," 39 Res & 2 Com'l Units","1","4","39","786","442","3","3","0","4","6","3","2008","2008","100","Y","Y","N","2","N","1","4116         CALIFORNIA                AVE  SW 98116","4116 ","   ","  ","CALIFORNIA               ","AVE ","SW","98116"
"192100","1","10 Unit Condo","5","2","10","1000","2695","3","2","0","4","4","3","2004","2004","100","N","N","N","0","N","1","1341         KIBLER                    AVE     98022","1341 ","   ","  ","KIBLER                   ","AVE ","  ","98022"
"216150","1","15 UNIT CONDO","4","2","15","1072","4831","3","3","0","4","5","4","1981","1995","100","N","N","Y","2","N","1","801          144TH                     AVE  NE 98007","801  ","   ","  ","144TH                    ","AVE ","NE","98007"
"228527","1","Two Unit Condo in separate bldgs","2","1","2","1540","6379","3","3","0","4","4","3","2002","2002","100","N","N"," ","2","N","1","1820      NE 170TH                     ST      98155","1820 ","   ","NE","170TH                    ","ST  ","  ","98155"
"228544","4","19 res + 5 Coml + 14 pkg unit condo","1","6","24","1009","350","3","3","0","3","6","4","1914","1990","100","Y","Y","N","2","Y","1","81           VINE                      ST      98121","81   ","   ","  ","VINE                     ","ST  ","  ","98121"
"230165","5","","1","3","34","759","361","5","5","0","2","5","3","2016","2016","100","Y","Y","N","2","N","1","531          QUEEN ANNE                AVE  N  ","531  ","   ","  ","QUEEN ANNE               ","AVE ","N ",""
"247500","1","102 UNIT CONDO","8","3","102","940","2950","3","3","0","4","4","4","1979","1995","100","N","N","Y","2","N","1","12635     NE 130TH                     WAY     98034","12635","   ","NE","130TH                    ","WAY ","  ","98034"
"256998","4","6 Unit Condo -1 Commercial","1","2","6","1358","870","3","3","0","4","4","3","2002","2002","100","N","N","Y","2","N","1","2502      N  50TH                      ST      98103","2502 ","   ","N ","50TH                     ","ST  ","  ","98103"
"257029","1","2 UNIT CONDO","1","2","2","1000","3420","3","3","0","4","4","3","1998","1998","100","N","N"," ","2","N","1","536          WILLIAMS                  AVE  S  98055","536  ","   ","  ","WILLIAMS                 ","AVE ","S ","98055"
"258500","4","108 RES UNITS + 8 COML UNITS","1","6","116","1333","375","3","3","0","2","5","5","1909","1985","100","Y","Y"," ","2","Y","1","526          1ST                       AVE  S  98104","526  ","   ","  ","1ST                      ","AVE ","S ","98104"
"261755","1","19 UNITS","1","3","19","1018","744","3","3","0","4","5","4","1984","1999","100","N","Y","Y","2","N","1","1400         TAYLOR                    AVE  N  98109","1400 ","   ","  ","TAYLOR                   ","AVE ","N ","98109"
"269200","2"," ","1","4","78","571","0","3","3","0","4","4","3","2004","2007","100","Y","Y","N","1","N","0","4515         MARTIN LUTHER KING JR     WAY  S  98108","4515 ","   ","  ","MARTIN LUTHER KING JR    ","WAY ","S ","98108"
"269800","1","36 Unit Condo","9","2","36","1422","5203","3","3","0","4","4","3","1999","1999","100","N","Y","Y","2","N","1","2600      S  288TH                     ST      98003","2600 ","   ","S ","288TH                    ","ST  ","  ","98003"
"270860","2","18 UNIT APT","1","3","18","483","380","3","3","17","4","4","3","1986","2001","100","N","Y","N","1","Y","0","3426         WALLINGFORD               AVE  N  98103","3426 ","   ","  ","WALLINGFORD              ","AVE ","N ","98103"
"286350","1","TOWN HOUSES-CONDOMINIUMS","1","2","5","1258","1834","2","3","0","4","4","3","1980","1980","100","N","N"," ","2","N","1","1760         15TH                      AVE  S  98144","1760 ","   ","  ","15TH                     ","AVE ","S ","98144"
"288785","1","9 CONDO UNITS","1","3","9","599","583","3","3","0","4","4","4","1984","2001","100","N","N","Y","2","Y","1","1109      N  ALLEN                     PL      ","1109 ","   ","N ","ALLEN                    ","PL  ","  ",""
"290928","2"," ","1","3","5","972","0","3","3","0","4","6","3","1994","2008","100","N","Y","N","2","N","0","8507         LINDEN                    AVE  N  98103","8507 ","   ","  ","LINDEN                   ","AVE ","N ","98103"
"291570","2","4 STY APT CONV TO CONDO","1","4","12","766","950","3","3","30","4","4","3","1964","1990","100","N","N","N","1","Y","0","11551        GREENWOOD                 AVE  N  98133","11551","   ","  ","GREENWOOD                ","AVE ","N ","98133"
"307500","1","17 FLAT UNITS","1","2","17","605","882","2","2","0","4","3","3","1963","1978","100","N","N","N","1","Y","1","748       S  CLOVERDALE                ST      ","748  ","   ","S ","CLOVERDALE               ","ST  ","  ",""
"311065","1","18 FLAT UNITS","1","4","18","1245","960","4","3","0","4","5","4","1985","1995","100","Y","Y","Y","2","N","1","1639         HARBOR                    AVE  SW 98116","1639 ","   ","  ","HARBOR                   ","AVE ","SW","98116"
"311073","1","20 Unit Condo","1","4","20","1060","825","3","3","0","4","5","4","1986","1986","100","N","Y"," ","2","N","1","2611         EASTLAKE                  AVE  E  98102","2611 ","   ","  ","EASTLAKE                 ","AVE ","E ","98102"
"327595","3"," ","0","0","0","1","0","0","0","0","0","0","0","0","0","0"," "," "," ","0"," ","0","1750         112TH                     AVE  NE 98004","1750 ","   ","  ","112TH                    ","AVE ","NE","98004"
"330010","1","6-UNIT CONDOMINIUM","2","2","6","1130","3197","3","3","0","4","4","3","1966","1976","100","N","N","Y","2","Y","1","2814      NE 8TH                       ST      98056","2814 ","   ","NE","8TH                      ","ST  ","  ","98056"
"177625","1","10 Unit Condo","10","2","10","2538","3789","3","3","0","4","4","3","2006","2006","100","N","N","Y","2","N","1","1720         GARFIELD                  ST      98022","1720 ","   ","  ","GARFIELD                 ","ST  ","  ","98022"
"179040","1","Flats","1","3","19","420","505","3","3","0","4","5","5","1914","1985","100","N","Y","Y","1","Y","1","215          17TH                      AVE  E  98112","215  ","   ","  ","17TH                     ","AVE ","E ","98112"
"179253","1","75 FLAT UNITS","1","4","75","675","521","3","4","0","4","5","4","1982","1996","100","Y","Y"," ","2","Y","1","275       W  ROY                       ST      98119","275  ","   ","W ","ROY                      ","ST  ","  ","98119"
"184325","1","1 Flat & 8 Garages","2","2","9","987","766","4","4","0","4","5","3","2004","2004","100","N","N","N","2","N","1","1936      NE KINCAID                   WALK    98029","1936 ","   ","NE","KINCAID                  ","WALK","  ","98029"
"193930","1","FLATS & TOWNHOUSES","5","3","80","982","2728","3","3","0","4","4","4","1979","1993","100","N","Y","Y","2","N","1","9302         REDMOND WOODINVILLE       RD   NE 98052","9302 ","   ","  ","REDMOND WOODINVILLE      ","RD  ","NE","98052"
"206320","2","5 UNIT CONDOMINIUM","1","3","5","820","1003","3","3","0","4","4","3","1981","1998","100","N","Y","Y","2","N","0","1412      NW 62ND                      ST      98107","1412 ","   ","NW","62ND                     ","ST  ","  ","98107"
"230220","5","","1","6","80","706","0","3","3","30","4","6","3","2017","2017","100","Y"," "," ","2"," ","0","1111      E  OLIVE                     ST      98122","1111 ","   ","E ","OLIVE                    ","ST  ","  ","98122"
"230270","3","""OFF A=132,335SF,B=53961SF""","1","15","2","0","7207","4","3","0","1","4","0","1955","1972","100","Y","N"," ","0","Y","0","1122         3RD                       AVE     98101","1122 ","   ","  ","3RD                      ","AVE ","  ","98101"
"230280","1","TOWNHOUSES","1","2","2","2265","2250","4","4","0","4","6","4","1912","1987","100","N","N","Y","2","Y","1","2306         11TH                      AVE  E  98102","2306 ","   ","  ","11TH                     ","AVE ","E ","98102"
"253895","4","13 UNIT CONDOMINIUM","1","4","13","965","654","3","3","0","2","4","3","1979","1979","100","Y","Y","Y","2","N","1","5801         PHINNEY                   AVE  N  98103","5801 ","   ","  ","PHINNEY                  ","AVE ","N ","98103"
