,2_digit_naics,3_digit_naics,industry,avg_wage,monthly_rent_allowance,year,98103,98115,98133,98122,98125,98109,98105,98118,98102,98107,98117,98121,98116,98112,98101,98126,98104
115,31,313.0,Textile mills,39832.0,1106.4444444444446,2012,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
116,31,314.0,Textile product mills,43806.0,1216.8333333333333,2012,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,True
117,31,315.0,Apparel manufacturing,41385.0,1149.5833333333333,2012,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True
118,31,316.0,Leather and allied product manufacturing,38656.0,1073.7777777777776,2012,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
119,32,321.0,Wood product manufacturing,49195.0,1366.5277777777776,2012,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,True
120,32,322.0,Paper manufacturing,56424.0,1567.333333333333,2012,True,True,True,True,True,True,False,True,True,True,False,True,False,False,False,True,True
121,32,323.0,Printing and related support activities,50529.0,1403.583333333333,2012,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,True
122,32,324.0,Petroleum and coal products manufacturing,74236.0,2062.1111111111113,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
123,32,325.0,Chemical manufacturing,68659.0,1907.1944444444446,2012,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True
124,32,326.0,Plastics and rubber products manufacturing,44685.0,1241.25,2012,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,True
125,32,327.0,Nonmetallic mineral product manufacturing,53690.0,1491.388888888889,2012,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,True,True
126,33,331.0,Primary metal manufacturing,80766.0,2243.5,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
127,33,332.0,Fabricated metal product manufacturing,52789.0,1466.361111111111,2012,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,True,True
128,33,333.0,Machinery manufacturing,67227.0,1867.416666666667,2012,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True
129,33,334.0,Computer and electronic product manufacturing,88567.0,2460.194444444445,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
130,33,335.0,Electrical equipment and appliance mfg.,66829.0,1856.361111111111,2012,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True
131,33,336.0,Transportation equipment manufacturing,99712.0,2769.777777777778,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
132,33,337.0,Furniture and related product manufacturing,39534.0,1098.1666666666667,2012,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
133,33,339.0,Miscellaneous manufacturing,64857.0,1801.583333333333,2012,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False,True,True
134,42,,Wholesale trade,78730.0,2186.944444444445,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
135,42,423.0,"Merchant wholesalers, durable goods",80254.0,2229.277777777778,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
